,RFdiam,bsl,bsl_FR,layer,maxamplif,maxamplif_diam,maxamplif_perc,maxquench,maxquench_diam,maxquench_perc,qtype_signi
0,0.20000000000000004,1.1854181725176354,1.5305012531328321,SG,0.7236647047904923,1.4999999999999998,0.7224384215913994,-0.8095735226317267,15.0,-0.3768689753771356,mixer
1,0.6000000000000001,1.0981894123265006,1.1406453634085212,SG,0.37855298937043047,0.6000000000000001,0.32430896304085316,-0.6172021287938503,15.0,-0.39072115772870286,mixer
1,0.5,1.0058165019115868,1.0167167919799498,SG,0.2653756302981142,1.9999999999999998,0.2655048862075635,-0.28596502453766837,26.000000000000007,-0.27458104395112254,mixer
1,0.6000000000000001,1.0392783613319108,1.554768170426065,SG,0.3945845609894916,1.0,0.4628099857815248,-0.41469813127681876,1.8000000000000003,-0.3509591645732225,mixer
1,0.4000000000000001,1.4322335519976757,0.9329197994987468,SG,0.16677010854115515,5.000000000000001,0.18218861350461202,-1.6370330444617684,26.000000000000007,-0.5107331378649139,mixer
1,0.4000000000000001,1.5867030609861736,1.9420300751879696,SG,,,,-1.1391964326081503,0.5,-0.5898062134341095,quencher
1,0.20000000000000004,2.981349883772616,3.314523809523809,SG,0.9345352811808008,1.9999999999999998,0.48024094705671005,-2.3541812236073802,0.4000000000000001,-0.6795250554282418,mixer
1,0.5,1.8289373183137454,0.960217391304348,SG,,,,-0.9363039829870297,0.5,-0.43800766609369984,quencher
1,0.4000000000000001,3.619490437072862,2.619148550724638,SG,,,,-2.8294318325695103,0.20000000000000004,-0.5161624490045763,quencher
1,0.20000000000000004,3.732414964532755,1.7791727053140096,SG,,,,-4.22635559807025,3.5000000000000004,-0.7364055743220046,quencher
1,0.5,4.336658466803341,3.9373792270531403,SG,,,,-3.4611859510977565,0.8000000000000002,-0.7523501402101223,quencher
1,0.8000000000000002,1.9833744603204713,2.246938405797101,SG,,,,-1.2290576805254896,1.4999999999999998,-0.4713393584482057,quencher
1,0.8000000000000002,1.8124280476573087,2.8501086956521737,SG,0.647418162470597,0.20000000000000004,0.42782050180131387,-1.5215688320554248,26.000000000000007,-0.5997796686122386,mixer
1,0.4000000000000001,1.3626801213877695,1.3421256038647345,SG,0.5143426796903192,0.20000000000000004,0.3970329134788561,-0.49727072514760806,5.000000000000001,-0.30228870812871567,mixer
1,0.6000000000000001,1.53064406856115,0.5423934837092732,SG,0.4516495445260912,0.20000000000000004,0.45448789707299664,-0.5609947505541009,2.4000000000000004,-0.2900802111316599,mixer
1,0.4000000000000001,4.46315840324995,2.326979949874687,SG,,,,-3.141968400973065,0.5,-0.65812422959934,quencher
1,0.5,4.148066904221852,1.9351566416040105,SG,0.7762454013074485,1.0,0.3473488845203362,-5.525330369073529,10.000000000000002,-0.6682897620798157,mixer
1,0.4000000000000001,3.356240369510842,1.9305451127819544,SG,1.6135556754781573,0.10000000000000002,0.44878151503511876,-3.9527922164488762,0.5,-0.6928237324138724,mixer
1,0.5,3.6066272793708594,2.6288972431077693,SG,,,,-3.1391914355377026,20.000000000000004,-0.6466600930623028,quencher
1,0.6000000000000001,1.790304378836366,1.190281954887218,SG,0.7363653183077488,0.20000000000000004,0.5433309720413437,-1.0531563181613444,15.0,-0.48692694475856396,mixer
1,0.5,5.310313931855707,1.1379626485568761,SG,1.9491163424757705,10.000000000000002,0.254399221669522,-5.70929135941695,3.5000000000000004,-0.7052343790000232,mixer
1,0.5,4.267246003712616,1.3247410865874365,SG,,,,-5.652126464936787,10.000000000000002,-0.7043112309158696,quencher
1,0.4000000000000001,2.751897292044285,1.1358106960950762,SG,1.1861092491346827,0.10000000000000002,0.5044151448819781,-3.4232699030340346,0.4000000000000001,-0.7490610878497285,mixer
1,0.4000000000000001,4.529673070579871,2.519983022071307,SG,,,,-5.539797266878917,0.4000000000000001,-0.8630694120156902,quencher
1,0.8000000000000002,3.184551569035469,1.8618859649122808,SG,0.656545765743231,1.2000000000000002,0.24132237162689527,-2.196244101631765,0.10000000000000002,-0.4479291767028468,mixer
1,0.8000000000000002,5.892145900015158,3.9974174406604748,SG,,,,-6.219068618189115,0.8000000000000002,-0.7883708351569912,quencher
1,0.8000000000000002,5.274961734492787,3.7430959752321984,SG,,,,-2.4117960354249433,0.8000000000000002,-0.4368465779469915,quencher
1,0.8000000000000002,3.961147127391341,2.7842956656346747,SG,,,,-2.8930767914329985,5.000000000000001,-0.5396571380010831,quencher
1,0.5,2.8941809453413314,1.98187564499484,SG,,,,-2.3531356183585457,1.8000000000000003,-0.5448557474065895,quencher
1,0.6000000000000001,2.138541565413355,1.3330082559339524,SG,1.0455774979675696,0.4000000000000001,0.5050249289680389,-0.4161312427688211,1.8000000000000003,-0.18792384701833031,mixer
1,0.8000000000000002,1.3152960684010944,3.1538802889576885,SG,0.7520940413014858,0.6000000000000001,0.5123523283910781,-0.6401729165738165,5.000000000000001,-0.44289845851344084,mixer
1,0.5,1.6987640566492137,4.812487468671679,G,,,,-1.1628351088404105,1.8000000000000003,-0.4867270309849707,quencher
1,0.6000000000000001,1.6174350609310912,4.240513784461152,G,,,,-1.0933243379131061,1.0,-0.4850570791720152,quencher
1,0.6000000000000001,1.652873078363456,5.811253132832079,G,,,,-0.6538113896514248,1.8000000000000003,-0.3005960026702733,quencher
1,0.4000000000000001,1.6869032278616745,3.1215760869565217,G,,,,-0.856698081965374,20.000000000000004,-0.408141616747084,quencher
1,3.0000000000000004,1.0793050136789466,4.433134057971014,G,,,,-0.46018774039494714,3.0000000000000004,-0.4052481348571662,quencher
