,bsl,bsl_FR,layer,maxamplif,maxamplif_diam,maxamplif_perc,maxquench,maxquench_diam,maxquench_perc,qtype,qtype_signi
0,1.2495877102532171,1.0976357560568089,SG,0.7436347741559888,0.20000000000000004,0.739477776180201,-0.8398219282097792,1.2000000000000002,-0.35878290990426104,mixer,mixer
1,1.098405310955617,0.9620718462823725,SG,0.7049598412055416,0.10000000000000002,0.6454249364274368,-0.7253392240082275,0.6000000000000001,-0.4337911259538883,mixer,mixer
1,0.9927912619543056,0.8817042606516291,SG,0.5160940528318562,0.10000000000000002,0.7069283313590178,-0.30431514994839204,1.0,-0.2753255992809603,mixer,mixer
1,1.0128673924049998,1.4099498746867167,SG,0.40803364383464047,1.2000000000000002,0.43164479314341714,-0.4559573268136399,1.8000000000000003,-0.31905899221524786,mixer,mixer
1,1.5046420203264306,0.6697911445279866,SG,0.2678493431371375,0.8000000000000002,0.2951690856936871,-2.192283177920581,1.0,-0.5706122417400994,mixer,mixer
1,1.7398272377378496,1.2923391812865497,SG,0.38857961693621834,2.4000000000000004,0.28808738883935125,-1.4894315086748064,0.4000000000000001,-0.647439923460582,mixer,mixer
1,3.4700601242656326,1.9593567251461987,SG,0.7121787508711952,2.4000000000000004,0.3112303675357571,-3.1723227107852487,0.20000000000000004,-0.7312367960440105,mixer,mixer
1,1.9967547591457746,0.5721336553945249,SG,0.6646968269201221,3.5000000000000004,0.4438517063281425,-1.3241581622843366,0.5,-0.545674515914868,mixer,mixer
1,4.114358993615515,1.7996215780998388,SG,,,,-3.8759317565159295,1.0,-0.7797878655524655,mixer,quencher
1,4.186650104033199,0.9761674718196457,SG,,,,-5.822496245126992,3.0000000000000004,-0.8092810961779302,mixer,quencher
1,5.169371084731165,2.3038727858293075,SG,,,,-4.574466728128223,0.8000000000000002,-0.8042995935662008,mixer,quencher
1,2.195844716578467,0.9734460547504025,SG,,,,-2.026824749390049,0.6000000000000001,-0.6256556769358141,mixer,quencher
1,2.018940055204259,1.180619967793881,SG,0.9116314224652169,0.20000000000000004,0.7169118451687823,-1.9575901324066816,3.5000000000000004,-0.6465614199999268,mixer,mixer
1,1.4366742559474273,0.6573832528180353,SG,1.0400908437376866,0.20000000000000004,1.0522480173214375,-0.917422867060997,0.8000000000000002,-0.48255689956475173,mixer,mixer
1,1.5878891416067011,0.31636591478696746,SG,0.5872844814303778,0.10000000000000002,0.6397389962554767,-1.1536122939409412,1.0,-0.5117990503573336,mixer,mixer
1,5.120217901535369,1.4346449456975774,SG,,,,-5.326794793962284,1.9999999999999998,-0.6581065297132118,mixer,quencher
1,4.650328612787785,0.8234252297410192,SG,7.393509389606554,0.10000000000000002,1.925889767001092,-6.843491878011214,5.000000000000001,-0.6970588754255721,mixer,mixer
1,3.7228962282101836,0.741453634085213,SG,3.3914480904194675,0.10000000000000002,1.289980054214665,-5.382537849679772,0.4000000000000001,-0.7744636570189436,mixer,mixer
1,4.149543269687637,1.5130492898913952,SG,2.673448499318999,0.10000000000000002,0.7305390500001694,-4.246756933104665,20.000000000000004,-0.7213826530544087,mixer,mixer
1,1.8748417969235016,0.5723809523809523,SG,0.8266360920664184,0.10000000000000002,0.7038914520558854,-1.4191551235287219,1.9999999999999998,-0.5881762854023572,mixer,mixer
1,5.974173974179312,0.6410016977928692,SG,,,,-7.154165005741531,3.0000000000000004,-0.7346607358302242,mixer,quencher
1,4.723267266468523,0.45015280135823427,SG,1.2249438019580556,0.10000000000000002,0.36976162315343375,-7.228541434050841,1.8000000000000003,-0.7368194039220117,mixer,mixer
1,3.037191545722412,0.276066779852858,SG,1.699198921749543,0.10000000000000002,0.8836776089776178,-4.28240017851589,0.4000000000000001,-0.7656463825334746,mixer,mixer
1,5.314792722986015,1.062354272778721,SG,,,,-7.067956141332587,0.20000000000000004,-0.8784719719177921,quencher,quencher
1,3.4398812963822643,1.249019607843137,SG,,,,-1.766764187754501,0.20000000000000004,-0.3858175743117041,mixer,quencher
1,7.128020695066802,2.8530822153422775,SG,,,,-8.608878440831715,0.8000000000000002,-0.8510538705553619,quencher,quencher
1,5.8944242684749675,2.753835569315445,SG,,,,-3.4418613362633934,0.6000000000000001,-0.52056271927767,quencher,quencher
1,4.649383041734141,1.9710010319917444,SG,,,,-4.20591226204218,0.6000000000000001,-0.6655011064240088,quencher,quencher
1,3.254427932852734,1.4600240798073616,SG,,,,-3.4022182376234014,1.2000000000000002,-0.6486445562899591,mixer,quencher
1,2.1713946500558254,1.06499828001376,SG,1.1380215075644387,0.10000000000000002,0.577922134664883,-0.7335361694540985,0.6000000000000001,-0.334798283634456,mixer,mixer
1,1.3438336576163907,2.642996216030272,SG,0.575364863828705,0.20000000000000004,0.5243025219570995,-0.871327787246896,2.4000000000000004,-0.5227885159349236,mixer,mixer
